klub,kadencja_ef,liczba,kolor,wikilink
Sojusz Lewicy Demokratycznej,1.5,59,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,2.0,168,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,2.5,168,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,3.0,164,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,3.5,162,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,4.0,146,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,4.5,148,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,5.0,55,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,5.5,55,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,6.0,54,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,6.5,55,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,7.0,27,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej,7.5,35,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
Sojusz Lewicy Demokratycznej – Unia Pracy,4.0,59,,
Solidarność 80,1.0,1,,
Solidarność Pracy,1.0,1,,
Stronnictwo Demokratyczne,1.0,1,,
Stronnictwo Gospodarcze,4.5,11,#6E6F2F,/wiki/Stronnictwo_Gospodarcze
Stronnictwo Konserwatywno-Ludowe,3.5,18,#33CC66,/wiki/Stronnictwo_Konserwatywno-Ludowe
Unia Demokratyczna,1.0,62,#FF9900,/wiki/Unia_Demokratyczna
Unia Demokratyczna,1.5,57,#FF9900,/wiki/Unia_Demokratyczna
Unia Polityki Realnej,1.0,3,#0091D2,/wiki/Unia_Polityki_Realnej
Unia Polityki Realnej,1.5,4,#0091D2,/wiki/Unia_Polityki_Realnej
Unia Pracy,1.0,3,#CC0033,/wiki/Unia_Pracy
Unia Pracy,1.5,6,#CC0033,/wiki/Unia_Pracy
Unia Pracy,2.0,33,#CC0033,/wiki/Unia_Pracy
Unia Pracy,2.5,33,#CC0033,/wiki/Unia_Pracy
Unia Pracy,4.0,11,#CC0033,/wiki/Unia_Pracy
Unia Pracy,4.5,11,#CC0033,/wiki/Unia_Pracy
Unia Wielkopolan i Lubuszan,1.0,1,,
Unia Wolności,2.0,65,#0A3C6E,/wiki/Unia_Wolno%C5%9Bci
Unia Wolności,2.5,65,#0A3C6E,/wiki/Unia_Wolno%C5%9Bci
Unia Wolności,3.0,60,#0A3C6E,/wiki/Unia_Wolno%C5%9Bci
Unia Wolności,3.5,47,#0A3C6E,/wiki/Unia_Wolno%C5%9Bci
Wielkopolsce i Polsce,1.0,1,,
Wyborcza Akcja Katolicka,1.0,7,,
Zjednoczenie Chrześcijańsko-Narodowe,1.0,42,#007FFF,/wiki/Zjednoczenie_Chrze%C5%9Bcija%C5%84sko-Narodowe
Zjednoczenie Chrześcijańsko-Narodowe,1.5,42,#007FFF,/wiki/Zjednoczenie_Chrze%C5%9Bcija%C5%84sko-Narodowe
Zjednoczona Prawica,7.5,16,#FFFF00,/wiki/Zjednoczona_Prawica
Związek Podhalan,1.0,1,,
